Date,Average Volume
2022-02-01,386400.0
2022-02-02,328800.0
2022-02-03,294733.3333333333
2022-02-04,286400.0
2022-02-07,282120.0
2022-02-08,279850.0
2022-02-09,273642.85714285716
2022-02-10,273637.5
2022-02-11,271355.55555555556
2022-02-14,274770.0
2022-02-15,276945.45454545453
2022-02-16,274241.6666666667
2022-02-17,271000.0
2022-02-18,265185.71428571426
2022-02-21,261853.33333333334
2022-02-22,264243.75
2022-02-23,260476.4705882353
2022-02-24,271450.0
2022-02-25,274521.05263157893
2022-02-28,281005.0
2022-03-02,292276.1904761905
2022-03-03,299086.36363636365
2022-03-04,305913.04347826086
2022-03-07,317558.3333333333
2022-03-08,326600.0
2022-03-09,331815.3846153846
2022-03-10,337540.74074074073
2022-03-11,337760.71428571426
2022-03-14,336965.5172413793
2022-03-15,338453.3333333333
2022-03-16,334240.0
2022-03-17,340143.3333333333
2022-03-21,342106.6666666667
2022-03-22,344670.0
2022-03-23,345573.3333333333
2022-03-24,346300.0
2022-03-25,346323.3333333333
2022-03-28,345643.3333333333
2022-03-29,345043.3333333333
2022-03-30,351693.3333333333
2022-03-31,351106.6666666667
2022-04-01,352683.3333333333
2022-04-04,356463.3333333333
2022-04-05,359593.3333333333
2022-04-06,363380.0
2022-04-07,363670.0
2022-04-08,366143.3333333333
2022-04-11,359266.6666666667
2022-04-12,357140.0
2022-04-13,351836.6666666667
2022-04-18,347116.6666666667
2022-04-19,345760.0
2022-04-20,340093.3333333333
2022-04-21,330086.6666666667
2022-04-22,320723.3333333333
2022-04-25,314506.6666666667
2022-04-26,306996.6666666667
2022-04-27,304376.6666666667
2022-04-28,304316.6666666667
2022-04-29,302803.3333333333
2022-05-02,303410.0
2022-05-04,298820.0
2022-05-05,298163.3333333333
2022-05-06,296903.3333333333
2022-05-09,296780.0
2022-05-10,296540.0
2022-05-11,298113.3333333333
2022-05-12,300170.0
2022-05-13,304636.6666666667
2022-05-16,295056.6666666667
2022-05-17,295543.3333333333
2022-05-18,295496.6666666667
2022-05-19,294443.3333333333
2022-05-20,293406.6666666667
2022-05-23,292240.0
2022-05-24,290273.3333333333
2022-05-25,289236.6666666667
2022-05-26,291323.3333333333
2022-05-27,291593.3333333333
2022-05-30,291803.3333333333
2022-05-31,300986.6666666667
2022-06-01,295926.6666666667
2022-06-02,294256.6666666667
2022-06-03,292933.3333333333
2022-06-06,291963.3333333333
2022-06-07,290566.6666666667
2022-06-08,289980.0
2022-06-09,287976.6666666667
2022-06-10,283870.0
2022-06-13,280180.0
2022-06-14,278420.0
2022-06-15,274166.6666666667
2022-06-16,274130.0
2022-06-17,275533.3333333333
2022-06-20,274586.6666666667
2022-06-21,273910.0
2022-06-22,271796.6666666667
2022-06-23,269940.0
2022-06-24,264956.6666666667
2022-06-27,264733.3333333333
2022-06-28,263273.3333333333
2022-06-29,268423.3333333333
2022-06-30,268160.0
2022-07-01,271883.3333333333
2022-07-04,272233.3333333333
2022-07-05,272380.0
2022-07-06,273883.3333333333
2022-07-07,272226.6666666667
2022-07-08,272460.0
2022-07-11,272610.0
2022-07-12,257843.33333333334
2022-07-13,257300.0
2022-07-14,257053.33333333334
2022-07-15,255730.0
2022-07-18,255533.33333333334
2022-07-19,255160.0
2022-07-20,256523.33333333334
2022-07-21,257810.0
2022-07-22,257850.0
2022-07-25,257380.0
2022-07-26,256806.66666666666
2022-07-27,256880.0
2022-07-28,260600.0
2022-07-29,263716.6666666667
2022-08-01,267766.6666666667
2022-08-02,270126.6666666667
2022-08-03,272276.6666666667
2022-08-04,274470.0
2022-08-05,278993.3333333333
2022-08-08,280530.0
2022-08-10,282556.6666666667
2022-08-11,278100.0
2022-08-12,278030.0
2022-08-16,274836.6666666667
2022-08-17,273453.3333333333
2022-08-18,273776.6666666667
2022-08-19,274016.6666666667
2022-08-22,274783.3333333333
2022-08-23,274933.3333333333
2022-08-24,275136.6666666667
2022-08-25,275856.6666666667
2022-08-26,276966.6666666667
2022-08-29,277510.0
2022-08-30,281473.3333333333
2022-09-01,284166.6666666667
2022-09-02,285290.0
2022-09-05,283486.6666666667
2022-09-06,283740.0
2022-09-07,289180.0
2022-09-08,291460.0
2022-09-09,293530.0
2022-09-12,294963.3333333333
2022-09-13,291083.3333333333
2022-09-14,288743.3333333333
2022-09-15,285680.0
2022-09-16,290176.6666666667
2022-09-19,289273.3333333333
2022-09-20,287210.0
2022-09-21,283550.0
2022-09-22,284453.3333333333
2022-09-23,287056.6666666667
2022-09-26,293083.3333333333
2022-09-27,294950.0
2022-09-28,296803.3333333333
2022-09-29,299376.6666666667
2022-09-30,303116.6666666667
2022-10-03,302543.3333333333
2022-10-04,300490.0
2022-10-06,299820.0
2022-10-07,298296.6666666667
2022-10-10,298423.3333333333
2022-10-11,298956.6666666667
2022-10-12,299326.6666666667
2022-10-13,297383.3333333333
2022-10-14,294666.6666666667
2022-10-17,293196.6666666667
2022-10-18,293503.3333333333
2022-10-19,292146.6666666667
2022-10-20,288663.3333333333
2022-10-21,288593.3333333333
2022-10-24,281083.3333333333
2022-10-25,281856.6666666667
2022-10-27,284013.3333333333
2022-10-28,280150.0
2022-10-31,278070.0
2022-11-01,274116.6666666667
2022-11-02,274536.6666666667
2022-11-03,272866.6666666667
2022-11-04,273613.3333333333
2022-11-07,274636.6666666667
2022-11-09,271850.0
2022-11-10,264000.0
2022-11-11,264620.0
2022-11-14,263870.0
2022-11-15,260900.0
2022-11-16,255673.33333333334
2022-11-17,253076.66666666666
2022-11-18,252170.0
2022-11-21,250446.66666666666
2022-11-22,249160.0
2022-11-23,247320.0
2022-11-24,244700.0
2022-11-25,243030.0
2022-11-28,241033.33333333334
2022-11-29,239976.66666666666
2022-11-30,244423.33333333334
2022-12-01,247273.33333333334
2022-12-02,248736.66666666666
2022-12-05,250030.0
2022-12-06,248033.33333333334
2022-12-07,253216.66666666666
2022-12-08,251596.66666666666
2022-12-09,247970.0
2022-12-12,246100.0
2022-12-13,244780.0
2022-12-14,240050.0
2022-12-15,237123.33333333334
2022-12-16,239280.0
2022-12-19,235510.0
2022-12-20,230650.0
2022-12-21,226663.33333333334
2022-12-22,224636.66666666666
2022-12-23,219403.33333333334
2022-12-26,215246.66666666666
2022-12-27,214026.66666666666
2022-12-28,213180.0
2022-12-29,215866.66666666666
2022-12-30,215640.0
2023-01-02,217050.0
2023-01-03,218083.33333333334
2023-01-04,219963.33333333334
2023-01-05,222160.0
2023-01-06,223236.66666666666
2023-01-09,224926.66666666666
2023-01-10,227860.0
2023-01-11,225003.33333333334
2023-01-12,221763.33333333334
2023-01-13,221840.0
2023-01-16,219100.0
2023-01-17,219143.33333333334
2023-01-18,220986.66666666666
2023-01-19,222153.33333333334
2023-01-20,222866.66666666666
2023-01-23,223153.33333333334
2023-01-24,224130.0
2023-01-25,225770.0
2023-01-27,235543.33333333334
2023-01-30,240700.0
2023-01-31,248816.66666666666
2023-02-01,260280.0
2023-02-02,270363.3333333333
2023-02-03,277976.6666666667
2023-02-06,280010.0
2023-02-07,285933.3333333333
2023-02-08,288490.0
2023-02-09,290723.3333333333
2023-02-10,289086.6666666667
2023-02-13,290396.6666666667
2023-02-14,290010.0
2023-02-15,290696.6666666667
2023-02-16,290530.0
2023-02-17,288470.0
2023-02-20,286350.0
2023-02-21,284383.3333333333
2023-02-22,281740.0
2023-02-23,281103.3333333333
2023-02-24,280490.0
2023-02-27,280146.6666666667
2023-02-28,287303.3333333333
2023-03-01,289096.6666666667
2023-03-02,290926.6666666667
2023-03-03,294873.3333333333
2023-03-06,299060.0
2023-03-08,301210.0
2023-03-09,302726.6666666667
2023-03-10,302016.6666666667
2023-03-13,294636.6666666667
2023-03-14,289910.0
2023-03-15,284906.6666666667
2023-03-16,279470.0
2023-03-17,276736.6666666667
2023-03-20,270660.0
2023-03-21,269466.6666666667
2023-03-22,266596.6666666667
2023-03-23,264203.3333333333
2023-03-24,263106.6666666667
2023-03-27,262653.3333333333
2023-03-28,262903.3333333333
2023-03-29,266283.3333333333
2023-03-31,267436.6666666667
2023-04-03,267436.6666666667
2023-04-05,268776.6666666667
2023-04-06,271046.6666666667
2023-04-10,272933.3333333333
2023-04-11,276276.6666666667
2023-04-12,276010.0
2023-04-13,278556.6666666667
2023-04-17,282256.6666666667
2023-04-18,276856.6666666667
2023-04-19,277143.3333333333
2023-04-20,273956.6666666667
2023-04-21,269756.6666666667
2023-04-24,266186.6666666667
2023-04-25,267200.0
2023-04-26,266220.0
2023-04-27,266403.3333333333
2023-04-28,267583.3333333333
2023-05-02,266736.6666666667
2023-05-03,266003.3333333333
2023-05-04,261896.66666666666
2023-05-05,256283.33333333334
2023-05-08,255836.66666666666
2023-05-09,255793.33333333334
2023-05-10,254200.0
2023-05-11,255190.0
2023-05-12,255646.66666666666
2023-05-15,255570.0
2023-05-16,254926.66666666666
2023-05-17,251060.0
2023-05-18,251333.33333333334
2023-05-19,252356.66666666666
2023-05-22,252833.33333333334
2023-05-23,253756.66666666666
2023-05-24,253016.66666666666
2023-05-25,250736.66666666666
2023-05-26,249600.0
2023-05-29,248916.66666666666
2023-05-30,244816.66666666666
2023-05-31,259403.33333333334
2023-06-01,258873.33333333334
2023-06-02,260733.33333333334
2023-06-05,261596.66666666666
2023-06-06,260433.33333333334
2023-06-07,259190.0
2023-06-08,260973.33333333334
2023-06-09,260320.0
2023-06-12,256626.66666666666
2023-06-13,255560.0
2023-06-14,256733.33333333334
2023-06-15,257946.66666666666
2023-06-16,259050.0
2023-06-19,258763.33333333334
2023-06-20,257636.66666666666
2023-06-21,257536.66666666666
2023-06-22,257663.33333333334
2023-06-23,256626.66666666666
2023-06-26,255133.33333333334
2023-06-27,255233.33333333334
2023-06-28,260863.33333333334
2023-06-30,260056.66666666666
2023-07-03,258896.66666666666
2023-07-04,257706.66666666666
2023-07-05,256173.33333333334
2023-07-06,257363.33333333334
2023-07-07,257403.33333333334
2023-07-10,259720.0
2023-07-11,259253.33333333334
2023-07-12,262370.0
2023-07-13,249500.0
2023-07-14,250353.33333333334
2023-07-17,250280.0
2023-07-18,251290.0
2023-07-19,252586.66666666666
2023-07-20,253073.33333333334
2023-07-21,253940.0
2023-07-24,255400.0
2023-07-25,261740.0
2023-07-26,262123.33333333334
2023-07-27,264573.3333333333
2023-07-28,264430.0
2023-07-31,265173.3333333333
2023-08-01,267780.0
2023-08-02,270416.6666666667
2023-08-03,273690.0
2023-08-04,274626.6666666667
2023-08-07,274826.6666666667
2023-08-08,277793.3333333333
2023-08-09,279260.0
2023-08-10,276373.3333333333
2023-08-11,275960.0
2023-08-14,276553.3333333333
2023-08-16,277933.3333333333
2023-08-17,279410.0
2023-08-18,279003.3333333333
2023-08-21,279853.3333333333
2023-08-22,277870.0
2023-08-23,277000.0
2023-08-24,275013.3333333333
2023-08-25,280216.6666666667
2023-08-28,278783.3333333333
2023-08-29,280073.3333333333
2023-08-30,278293.3333333333
2023-08-31,288390.0
2023-09-01,290333.3333333333
2023-09-04,289810.0
2023-09-05,289516.6666666667
2023-09-06,286780.0
2023-09-07,288786.6666666667
2023-09-08,287226.6666666667
2023-09-11,286896.6666666667
2023-09-12,287996.6666666667
2023-09-13,286443.3333333333
2023-09-14,285923.3333333333
2023-09-15,290006.6666666667
2023-09-18,289476.6666666667
2023-09-20,294860.0
2023-09-21,295353.3333333333
2023-09-22,294683.3333333333
2023-09-25,290556.6666666667
2023-09-26,289536.6666666667
2023-09-27,288193.3333333333
2023-09-28,291010.0
2023-09-29,290170.0
2023-10-03,289023.3333333333
2023-10-04,289506.6666666667
2023-10-05,290380.0
2023-10-06,288176.6666666667
2023-10-09,284736.6666666667
2023-10-10,276406.6666666667
2023-10-11,275256.6666666667
2023-10-12,272273.3333333333
2023-10-13,273006.6666666667
2023-10-16,260286.66666666666
2023-10-17,255380.0
2023-10-18,252116.66666666666
2023-10-19,251233.33333333334
2023-10-20,248256.66666666666
2023-10-23,243960.0
2023-10-25,241866.66666666666
2023-10-26,243586.66666666666
2023-10-27,239490.0
2023-10-30,237113.33333333334
2023-10-31,234810.0
2023-11-01,226673.33333333334
2023-11-02,226030.0
2023-11-03,219743.33333333334
2023-11-06,216596.66666666666
2023-11-07,215006.66666666666
2023-11-08,215226.66666666666
2023-11-09,215343.33333333334
2023-11-10,213630.0
2023-11-13,208180.0
2023-11-15,209780.0
2023-11-16,211813.33333333334
2023-11-17,210470.0
2023-11-20,208433.33333333334
2023-11-21,209630.0
2023-11-22,210276.66666666666
2023-11-23,208723.33333333334
2023-11-24,206463.33333333334
2023-11-28,206853.33333333334
2023-11-29,206226.66666666666
2023-11-30,216413.33333333334
2023-12-01,219080.0
2023-12-04,225153.33333333334
2023-12-05,231510.0
2023-12-06,236873.33333333334
2023-12-07,240173.33333333334
2023-12-08,242410.0
2023-12-11,239493.33333333334
2023-12-12,240816.66666666666
2023-12-13,243490.0
2023-12-14,247770.0
2023-12-15,258260.0
2023-12-18,258396.66666666666
2023-12-19,260406.66666666666
2023-12-20,266513.3333333333
2023-12-21,269140.0
2023-12-22,272130.0
2023-12-26,272500.0
2023-12-27,275976.6666666667
2023-12-28,282770.0
2023-12-29,282083.3333333333
2024-01-01,277793.3333333333
2024-01-02,278690.0
2024-01-03,283293.3333333333
2024-01-04,288100.0
2024-01-05,292260.0
2024-01-08,294310.0
2024-01-09,297066.6666666667
2024-01-10,296646.6666666667
2024-01-11,295856.6666666667
2024-01-12,289460.0
2024-01-15,292116.6666666667
2024-01-16,289160.0
2024-01-17,290326.6666666667
2024-01-18,291263.3333333333
2024-01-19,293533.3333333333
2024-01-23,298776.6666666667
2024-01-24,305263.3333333333
2024-01-25,311036.6666666667
2024-01-29,314916.6666666667
2024-01-30,316273.3333333333
2024-01-31,313000.0
2024-02-01,315760.0
2024-02-02,322193.3333333333
2024-02-05,324756.6666666667
2024-02-06,327873.3333333333
2024-02-07,329926.6666666667
2024-02-08,338980.0
2024-02-09,342070.0
2024-02-12,338546.6666666667
2024-02-13,341710.0
2024-02-14,348546.6666666667
2024-02-15,351270.0
2024-02-16,352336.6666666667
2024-02-19,349973.3333333333
2024-02-20,349520.0
2024-02-21,353953.3333333333
2024-02-22,357783.3333333333
2024-02-23,358083.3333333333
2024-02-26,357926.6666666667
2024-02-27,356510.0
2024-02-28,351760.0
2024-02-29,354020.0
2024-03-01,350536.6666666667
2024-03-04,347586.6666666667
2024-03-05,346023.3333333333
2024-03-06,341443.3333333333
2024-03-07,340523.3333333333
2024-03-11,335850.0
2024-03-12,333266.6666666667
2024-03-13,337206.6666666667
2024-03-14,337743.3333333333
2024-03-15,348710.0
2024-03-18,345826.6666666667
2024-03-19,342606.6666666667
2024-03-20,340653.3333333333
2024-03-21,340883.3333333333
2024-03-22,337470.0
2024-03-26,336776.6666666667
2024-03-27,340833.3333333333
2024-03-28,342323.3333333333
2024-04-01,339296.6666666667
2024-04-02,337433.3333333333
2024-04-03,336290.0
2024-04-04,340713.3333333333
2024-04-05,338930.0
2024-04-08,334366.6666666667
2024-04-09,330663.3333333333
2024-04-10,332356.6666666667
2024-04-12,337336.6666666667
2024-04-15,340780.0
2024-04-16,344590.0
2024-04-18,347813.3333333333
2024-04-19,348180.0
2024-04-22,347530.0
2024-04-23,345373.3333333333
2024-04-24,342826.6666666667
2024-04-25,345996.6666666667
2024-04-26,347730.0
2024-04-29,347490.0
2024-04-30,343110.0
2024-05-02,343750.0
2024-05-03,336303.3333333333
2024-05-06,335103.3333333333
2024-05-07,333556.6666666667
2024-05-08,332390.0
2024-05-09,331660.0
2024-05-10,327563.3333333333
2024-05-13,325890.0
2024-05-14,319926.6666666667
2024-05-15,313973.3333333333
2024-05-16,317326.6666666667
2024-05-17,315766.6666666667
2024-05-21,317033.3333333333
2024-05-22,313343.3333333333
2024-05-23,317596.6666666667
2024-05-24,318740.0
2024-05-27,319660.0
2024-05-28,317696.6666666667
2024-05-29,314786.6666666667
2024-05-30,315383.3333333333
2024-05-31,323876.6666666667
2024-06-03,327626.6666666667
2024-06-04,349080.0
2024-06-05,361053.3333333333
2024-06-06,369350.0
2024-06-07,377273.3333333333
2024-06-10,371586.6666666667
2024-06-11,370763.3333333333
2024-06-12,370883.3333333333
2024-06-13,367763.3333333333
2024-06-14,360336.6666666667
2024-06-18,354806.6666666667
2024-06-19,355090.0
2024-06-20,354506.6666666667
2024-06-21,365590.0
2024-06-24,362526.6666666667
2024-06-25,363603.3333333333
2024-06-26,363923.3333333333
2024-06-27,373423.3333333333
2024-06-28,377520.0
2024-07-01,374166.6666666667
2024-07-02,375020.0
2024-07-03,372376.6666666667
2024-07-04,371073.3333333333
2024-07-05,368693.3333333333
2024-07-08,368840.0
2024-07-09,368523.3333333333
2024-07-10,371003.3333333333
2024-07-11,372220.0
2024-07-12,370633.3333333333
2024-07-15,361743.3333333333
2024-07-16,352203.3333333333
2024-07-18,330363.3333333333
2024-07-19,320540.0
2024-07-22,315333.3333333333
2024-07-23,314093.3333333333
2024-07-24,316166.6666666667
2024-07-25,319053.3333333333
2024-07-26,321993.3333333333
2024-07-29,324883.3333333333
2024-07-30,330280.0
2024-07-31,332326.6666666667
2024-08-01,335743.3333333333
2024-08-02,337900.0
2024-08-05,333803.3333333333
2024-08-06,336233.3333333333
2024-08-07,336883.3333333333
2024-08-08,337686.6666666667
2024-08-09,327683.3333333333
2024-08-12,325186.6666666667
2024-08-13,324233.3333333333
2024-08-14,325400.0
2024-08-16,325510.0
2024-08-19,325256.6666666667
2024-08-20,323253.3333333333
2024-08-21,322946.6666666667
2024-08-22,321940.0
2024-08-23,319090.0
2024-08-26,315886.6666666667
2024-08-27,312470.0
2024-08-28,309636.6666666667
2024-08-29,311996.6666666667
2024-08-30,321573.3333333333
2024-09-02,317540.0
2024-09-03,313803.3333333333
2024-09-04,307716.6666666667
2024-09-05,302903.3333333333
2024-09-06,300233.3333333333
2024-09-09,295920.0
2024-09-10,292463.3333333333
2024-09-11,288936.6666666667
2024-09-12,290486.6666666667
2024-09-13,284470.0
2024-09-16,278593.3333333333
2024-09-17,269560.0
2024-09-18,266340.0
2024-09-19,266236.6666666667
2024-09-20,273610.0
2024-09-23,273413.3333333333
2024-09-24,276886.6666666667
2024-09-25,278180.0
2024-09-26,280433.3333333333
2024-09-27,287723.3333333333
2024-09-30,291040.0
2024-10-01,291343.3333333333
2024-10-03,296886.6666666667
2024-10-04,302040.0
2024-10-07,307623.3333333333
2024-10-08,311720.0
2024-10-09,313963.3333333333
2024-10-10,315330.0
2024-10-11,310546.6666666667
2024-10-14,296153.3333333333
2024-10-15,297300.0
2024-10-16,297790.0
2024-10-17,297756.6666666667
2024-10-18,300046.6666666667
2024-10-21,297723.3333333333
2024-10-22,298560.0
2024-10-23,299670.0
2024-10-24,297586.6666666667
2024-10-25,297336.6666666667
2024-10-28,298263.3333333333
2024-10-29,303706.6666666667
2024-10-30,306013.3333333333
2024-10-31,308390.0
2024-11-01,299200.0
2024-11-04,290946.6666666667
2024-11-05,293623.3333333333
2024-11-06,292523.3333333333
2024-11-07,293980.0
2024-11-08,291573.3333333333
2024-11-11,284343.3333333333
2024-11-12,281433.3333333333
2024-11-13,283340.0
2024-11-14,277816.6666666667
2024-11-18,274096.6666666667
2024-11-19,271536.6666666667
2024-11-21,274440.0
2024-11-22,277006.6666666667
2024-11-25,291200.0
2024-11-26,291873.3333333333
2024-11-27,294826.6666666667
2024-11-28,298476.6666666667
2024-11-29,300320.0
2024-12-02,299240.0
2024-12-03,300860.0
2024-12-04,304393.3333333333
2024-12-05,307126.6666666667
2024-12-06,305196.6666666667
2024-12-09,306243.3333333333
2024-12-10,302523.3333333333
2024-12-11,299480.0
2024-12-12,297283.3333333333
2024-12-13,298113.3333333333
2024-12-16,294800.0
2024-12-17,302336.6666666667
2024-12-18,300663.3333333333
2024-12-19,300050.0
2024-12-20,303103.3333333333
2024-12-23,298690.0
2024-12-24,294656.6666666667
2024-12-26,291466.6666666667
2024-12-27,288833.3333333333
2024-12-30,290843.3333333333
2024-12-31,288706.6666666667
2025-01-01,285093.3333333333
2025-01-02,284616.6666666667
2025-01-03,281016.6666666667
2025-01-06,278033.3333333333
2025-01-07,263870.0
2025-01-08,265060.0
2025-01-09,264200.0
2025-01-10,260676.66666666666
2025-01-13,261823.33333333334
2025-01-14,264850.0
2025-01-15,261133.33333333334
2025-01-16,259513.33333333334
2025-01-17,256560.0
2025-01-20,259053.33333333334
2025-01-21,261213.33333333334
2025-01-22,261713.33333333334
2025-01-23,264656.6666666667
2025-01-24,264596.6666666667
2025-01-27,262840.0
2025-01-28,268650.0
2025-01-29,267363.3333333333
2025-01-30,271583.3333333333
2025-01-31,272710.0
